skill,demand_pct,supply_pct
vector embeddings,0,1.4
OLlama,0,1.4
JS,0,1.4
Document Classification,0,1.4
T5,0,1.4
graph neural networks,0,1.4
Unity,0,1.4
Time-series forecasting,0,1.4
nltk,0,1.4
Business Intelligence,0,1.4
Flutter,0,1.4
llama2,0,1.4
SHAP,0,1.4
CLIP,0,1.4
U-Net,0,1.4
PowerShell,0,1.4
Microsoft Azure,0,1.4
ETL pipelines,0,1.4
Amazon QuickSight,0,0.9
data preparation,0,0.9
Urban air mobility,0,0.9
Scratch,0,0.9
Hive,0,0.9
predictive maintenance,0,0.9
Prompt Injection,0,0.9
Redshift,0,0.9
transformer,0,0.9
Prometheus,0,0.9
Explainable AI,0,0.9
recommendation system,0,0.9
ChromaDB,0,0.9
Splunk,0,0.9
LIME,0,0.9
ONNX,0,0.9
facial recognition,0,0.9
kanban,0,0.9
preprocessing,0,0.9
video,0,0.9
OpenAI GPT-4o,0,0.9
Swagger,0,0.9
scalable solutions,0,0.9
GitLab,0,0.9
SSRS,0,0.9
stable diffusion,0,0.9
tracking,0,0.9
Falcon,0,0.9
chatbot,0,0.9
Dash,0,0.9
Apache,0,0.9
Hardware,0,0.9
ECS,0,0.9
Enterprise analytics,0,0.9
sensors,0,0.9
Diffusion models,0,0.9
image classification,0,0.9
OpenAI Whisper,0,0.9
Laravel,0,0.9
Vue.js,0,0.9
Web,0,0.9
MQTT,0,0.9
PEFT,0,0.9
AWS RDS,0,0.9
NoSQL databases,0,0.9
data dashboards,0,0.9
BeautifulSoup,0,0.9
CloudWatch,0,0.9
LSTMs,0,0.9
CountVectorizer,0,0.9
MS SQL,0,0.9
content-based filtering,0,0.9
chain-of-thought,0,0.9
InfluxDB,0,0.9
predictive models,0,0.9
predictive analysis,0,0.9
Dropout,0,0.9
F1 score,0,0.9
web application,0,0.9
Azure SQL,0,0.9
deep learning object detection,0,0.9
KNN,0,0.9
microservices architecture,0,0.9
Ansible,0,0.9
regression analysis,0,0.9
lightgbm,0,0.9
ERP,0,0.9
plotly,0,0.9
NLP techniques,0,0.9
virtual reality,0,0.9
recall,0,0.9
Pig,0,0.9
graph neural network,0,0.9
Spark Streaming,0,0.9
LDA,0,0.9
yolo,0,0.9
coding challenges,0,0.9
Text-to-Image,0,0.9
geospatial analytics,0,0.9
Slurm,0,0.9
Cypher,0,0.9
IAM,0,0.9
hallucinations,0,0.9
named entity recognition (NER),0,0.9
Market Research,0,0.9
Flask API,0,0.9
MS Access,0,0.9
GPUs,0,0.9
Google Cloud Platform,0,0.9
UAT,0,0.9
data pipeline,0,0.9
Oracle database,0,0.9
AI system architecture,0,0.9
SAS,0,0.9
Paypal,0,0.9
machine vision,0,0.9
Customer service,0,0.9
Whisper,0,0.9
BitBucket,0,0.9
vector DBs,0,0.9
oracle,0,0.9
R Studio,0,0.9
data exploration,0,0.9
machine learning engineer,0,0.9
SFTP,0,0.9
Android Developer,0,0.9
transformer-based models,0,0.9
Supabase,0,0.9
Jupyter Notebook,0,0.9
data scraping,0,0.9
HTML/CSS,0,0.9
interactive dashboards,0,0.9
GPT-4o,0,0.9
Neural network,0,0.9
Metasploit,0,0.9
Data Mining,0,0.9
