rank,ngram,early_pct_2021_22,late_pct_2024_25,pp_change,multiple,late_n,early_n
90,ai-powered,0.2249,1.0399,0.815,4.62,634,256
91,detection,1.423,2.2372,0.8142,1.57,1364,1620
92,engineering,6.5722,7.3842,0.8121,1.12,4502,7482
93,contributing to,2.0932,2.8982,0.805,1.38,1767,2383
94,actionable insights,0.8661,1.6566,0.7905,1.91,1010,986
95,collaborating with,1.6356,2.4259,0.7903,1.48,1479,1862
96,decision-making,1.6198,2.4078,0.7881,1.49,1468,1844
97,built,6.1848,6.9709,0.7861,1.13,4250,7041
98,power bi,2.1248,2.9097,0.7849,1.37,1774,2419
99,to identify,3.8764,4.6598,0.7835,1.2,2841,4413
100,technical,9.86,10.6367,0.7767,1.08,6485,11225
101,reliability,2.1793,2.9556,0.7764,1.36,1802,2481
102,2025,0.1362,0.907,0.7709,6.66,553,155
103,integrated,3.7156,4.4843,0.7687,1.21,2734,4230
104,contribute to,0.6808,1.4483,0.7675,2.13,883,775
105,and operational,1.466,2.2307,0.7646,1.52,1360,1669
106,aligning,1.156,1.9141,0.7582,1.66,1167,1316
107,bi,2.564,3.3181,0.7541,1.29,2023,2919
108,strengthen,0.4814,1.2318,0.7504,2.56,751,548
109,focused on,1.9193,2.6604,0.7411,1.39,1622,2185
110,and ensure,1.6268,2.3635,0.7367,1.45,1441,1852
111,and ensuring,1.8306,2.5571,0.7265,1.4,1559,2084
112,tailored,1.2403,1.9666,0.7263,1.59,1199,1412
113,risk,3.7569,4.4778,0.7209,1.19,2730,4277
114,analyze,3.0744,3.7938,0.7194,1.23,2313,3500
115,and improving,1.5135,2.2323,0.7188,1.47,1361,1723
116,and maintain,2.3998,3.1164,0.7166,1.3,1900,2732
117,manual,3.1473,3.8627,0.7154,1.23,2355,3583
118,regulatory,2.0879,2.8031,0.7152,1.34,1709,2377
119,consistency,1.3167,2.0306,0.7139,1.54,1238,1499
120,my role,1.0918,1.8009,0.7091,1.65,1098,1243
121,my,6.8875,7.5941,0.7067,1.1,4630,7841
122,reducing manual,0.8406,1.5418,0.7012,1.83,940,957
123,infrastructure,4.5352,5.2273,0.6922,1.15,3187,5163
124,industry,2.9751,3.6609,0.6858,1.23,2232,3387
125,end-to-end,2.5702,3.2542,0.684,1.27,1984,2926
126,and enhance,0.8222,1.5057,0.6835,1.83,918,936
127,aligned,1.3685,2.0519,0.6834,1.5,1251,1558
128,complex,4.7723,5.4553,0.683,1.14,3326,5433
129,aligned with,1.0198,1.6845,0.6647,1.65,1027,1161
130,conduct,1.9992,2.6637,0.6645,1.33,1624,2276
131,focus,2.3734,3.0344,0.661,1.28,1850,2702
132,python,6.1435,6.8019,0.6584,1.11,4147,6994
133,automated,6.068,6.7134,0.6454,1.11,4093,6908
134,structured,0.9056,1.5467,0.6411,1.71,943,1031
135,and support,1.8675,2.5046,0.6371,1.34,1527,2126
136,hands-on experience,0.4822,1.1186,0.6364,2.32,682,549
137,focused,2.2408,2.8769,0.6361,1.28,1754,2551
138,identifying,2.6088,3.2378,0.6289,1.24,1974,2970
139,digital,3.7727,4.3974,0.6247,1.17,2681,4295
140,financial,4.0933,4.7172,0.6239,1.15,2876,4660
141,comprehensive,4.6212,5.2421,0.6209,1.13,3196,5261
142,dynamic,1.9298,2.5505,0.6207,1.32,1555,2197
143,solutions that,0.8064,1.4237,0.6173,1.77,868,918
144,optimizing,2.6633,3.2804,0.6171,1.23,2000,3032
145,and improve,1.4353,2.0519,0.6166,1.43,1251,1634
146,full-stack,1.1296,1.7452,0.6156,1.54,1064,1286
147,key,6.5546,7.1677,0.6131,1.09,4370,7462
148,accessibility,1.221,1.8337,0.6128,1.5,1118,1390
149,optimization,2.2136,2.8261,0.6125,1.28,1723,2520
150,and optimize,0.7405,1.3482,0.6078,1.82,822,843
151,compliance and,1.2183,1.8255,0.6072,1.5,1113,1387
152,analysis,10.1288,10.7286,0.5998,1.06,6541,11531
153,governance,1.4335,2.0306,0.597,1.42,1238,1632
154,collaboration,3.7718,4.3646,0.5928,1.16,2661,4294
155,helping,1.5108,2.1027,0.5919,1.39,1282,1720
156,incident,1.531,2.1224,0.5914,1.39,1294,1743
157,llm,0.1467,0.7365,0.5898,5.02,449,167
158,delivering,2.6238,3.2132,0.5894,1.22,1959,2987
159,m,0.6772,1.2662,0.589,1.87,772,771
160,outreach,0.961,1.5484,0.5874,1.61,944,1094
161,focusing,1.351,1.9371,0.5861,1.43,1181,1538
162,visibility,1.2271,1.8108,0.5837,1.48,1104,1397
163,2024,0.3162,0.8972,0.581,2.84,547,360
164,community,2.3734,2.954,0.5806,1.24,1801,2702
165,threat,0.8635,1.4401,0.5766,1.67,878,983
166,focusing on,1.3141,1.8895,0.5754,1.44,1152,1496
167,refine,0.809,1.3843,0.5753,1.71,844,921
168,platform,5.6779,6.2508,0.5729,1.1,3811,6464
169,backend,3.0349,3.6052,0.5703,1.19,2198,3455
170,innovation,1.2614,1.8288,0.5675,1.45,1115,1436
171,detailed,2.514,3.0803,0.5663,1.23,1878,2862
172,scalability,1.3791,1.9404,0.5613,1.41,1183,1570
173,mission,1.2605,1.8206,0.5601,1.44,1110,1435
174,validation,2.2021,2.7621,0.56,1.25,1684,2507
175,analyzing,1.8499,2.4062,0.5563,1.3,1467,2106
176,to deliver,2.0985,2.6522,0.5537,1.26,1617,2389
177,response,2.3383,2.8917,0.5534,1.24,1763,2662
178,i m,0.3241,0.8709,0.5468,2.69,531,369
179,engineered,1.1375,1.6812,0.5437,1.48,1025,1295
180,by 40,1.2218,1.7649,0.543,1.44,1076,1391
181,focus on,1.589,2.1191,0.5301,1.33,1292,1809
182,accurate,2.6782,3.2082,0.53,1.2,1956,3049
183,am,1.401,1.924,0.5229,1.37,1173,1595
184,involves,0.3786,0.9005,0.5219,2.38,549,431
185,through,13.9226,14.4436,0.5211,1.04,8806,15850
186,frameworks,1.6804,2.1995,0.5191,1.31,1341,1913
187,time by,1.8736,2.3849,0.5112,1.27,1454,2133
188,designed and,4.4385,4.9485,0.51,1.11,3017,5053
189,ensuring alignment,0.7449,1.2548,0.5099,1.68,765,848
190,usability,1.351,1.86,0.509,1.38,1134,1538
191,engaging,1.1999,1.7075,0.5076,1.42,1041,1366
192,while,7.1879,7.6942,0.5063,1.07,4691,8183
193,engagement and,1.1094,1.6156,0.5062,1.46,985,1263
194,standards.,1.5117,2.0158,0.5041,1.33,1229,1721
195,long-term,0.9689,1.4696,0.5008,1.52,896,1103
196,learning,4.0248,4.5253,0.5005,1.12,2759,4582
197,into actionable,0.5095,1.0054,0.496,1.97,613,580
198,optimized,3.7033,4.1989,0.4956,1.13,2560,4216
199,growth,2.6273,3.1213,0.494,1.19,1903,2991
200,efficiency and,2.5746,3.0672,0.4926,1.19,1870,2931
201,operations and,1.6751,2.1651,0.49,1.29,1320,1907
202,lead,7.4251,7.914,0.4889,1.07,4825,8453
203,align with,0.6658,1.1514,0.4856,1.73,702,758
204,efficiency.,1.9123,2.3931,0.4808,1.25,1459,2177
205,and reducing,1.4309,1.9108,0.4799,1.34,1165,1629
206,challenges,1.2122,1.6894,0.4772,1.39,1030,1380
207,solutions.,1.6786,2.1519,0.4733,1.28,1312,1911
208,findings,1.5521,2.024,0.4719,1.3,1234,1767
209,performance and,2.7055,3.1771,0.4716,1.17,1937,3080
210,reporting,5.8325,6.3033,0.4708,1.08,3843,6640
211,role,4.6028,5.0715,0.4687,1.1,3092,5240
212,dashboards and,0.9434,1.4106,0.4672,1.5,860,1074
213,smooth,1.7243,2.1913,0.467,1.27,1336,1963
214,streamlining,1.5389,2.006,0.467,1.3,1223,1752
215,applying,0.787,1.2531,0.4661,1.59,764,896
216,incident response,0.6913,1.1563,0.465,1.67,705,787
217,to optimize,1.8525,2.316,0.4634,1.25,1412,2109
218,decision-making.,0.6553,1.1186,0.4633,1.71,682,746
219,access,3.8482,4.3105,0.4622,1.12,2628,4381
220,at,10.8368,11.2961,0.4593,1.04,6887,12337
221,trends and,1.2008,1.6566,0.4558,1.38,1010,1367
222,developing,4.8303,5.2847,0.4544,1.09,3222,5499
223,i am,1.2684,1.7206,0.4522,1.36,1049,1444
224,high-impact,0.4304,0.8824,0.452,2.05,538,490
225,assessments,1.6804,2.1323,0.4519,1.27,1300,1913
226,ensuring compliance,0.8617,1.3122,0.4505,1.52,800,981
227,implement,4.2084,4.6582,0.4498,1.11,2840,4791
228,opportunities,2.6194,3.0688,0.4494,1.17,1871,2982
229,rag,0.0729,0.5216,0.4487,7.15,318,83
230,tracking,3.7323,4.1809,0.4486,1.12,2549,4249
231,integrity,1.784,2.2307,0.4467,1.25,1360,2031
232,generation,1.2939,1.737,0.4431,1.34,1059,1473
233,and performance,1.4634,1.9043,0.4409,1.3,1161,1666
234,intuitive,0.6913,1.1301,0.4388,1.63,689,787
235,openai,0.1151,0.5527,0.4377,4.8,337,131
236,stakeholder,1.777,2.2126,0.4356,1.25,1349,2023
237,foster,0.6535,1.0891,0.4356,1.67,664,744
238,ensuring alignment with,0.6061,1.0399,0.4338,1.72,634,690
239,event,1.7067,2.1405,0.4337,1.25,1305,1943
240,to strengthen,0.2899,0.7233,0.4335,2.5,441,330
241,automate,2.2215,2.6522,0.4308,1.19,1617,2529
242,and user,1.8253,2.252,0.4267,1.23,1373,2078
243,and strategic,0.7168,1.1416,0.4248,1.59,696,816
244,serve,1.1568,1.5812,0.4243,1.37,964,1317
245,e.g.,0.6948,1.1186,0.4238,1.61,682,791
246,reliability and,0.8705,1.2941,0.4236,1.49,789,991
247,intelligence,1.5539,1.9732,0.4193,1.27,1203,1769
248,vulnerability,0.9706,1.3893,0.4186,1.43,847,1105
249,professional,2.2197,2.6374,0.4177,1.19,1608,2527
250,across multiple,1.9518,2.3685,0.4167,1.21,1444,2222
251,workflows.,0.6553,1.0711,0.4158,1.63,653,746
252,clarity,0.4453,0.8611,0.4158,1.93,525,507
253,and implement,1.9246,2.3389,0.4144,1.22,1426,2191
254,role involves,0.1203,0.5347,0.4144,4.44,326,137
255,and deliver,0.8995,1.3138,0.4143,1.46,801,1024
256,insights to,0.99,1.404,0.4141,1.42,856,1127
257,responsive,1.2754,1.6894,0.414,1.32,1030,1452
258,develop and,1.9061,2.3176,0.4115,1.22,1413,2170
259,serve as,0.7704,1.1793,0.409,1.53,719,877
260,cutting,0.8942,1.3007,0.4065,1.45,793,1018
261,i work,0.52,0.9251,0.4051,1.78,564,592
262,high-quality,1.4985,1.9026,0.4041,1.27,1160,1706
263,ensuring compliance with,0.6869,1.0907,0.4038,1.59,665,782
264,generative,0.2653,0.6659,0.4006,2.51,406,302
265,translating,0.5903,0.9907,0.4004,1.68,604,672
266,innovative,1.6795,2.0798,0.4003,1.24,1268,1912
267,validate,1.1261,1.5238,0.3976,1.35,929,1282
268,insights and,0.9917,1.3893,0.3975,1.4,847,1129
269,measurable,0.4199,0.8168,0.3969,1.95,498,478
270,and deployed,1.3009,1.6976,0.3967,1.3,1035,1481
271,gaining,0.2969,0.6922,0.3953,2.33,422,338
272,by 30,1.6259,2.0207,0.3948,1.24,1232,1851
273,modern,0.9926,1.386,0.3934,1.4,845,1130
274,specialize in,0.2354,0.6282,0.3928,2.67,383,268
275,integrate,1.3053,1.6976,0.3923,1.3,1035,1486
276,specialize,0.238,0.6298,0.3918,2.65,384,271
277,ensure seamless,0.4989,0.8906,0.3917,1.79,543,568
278,personalized,0.773,1.1629,0.3899,1.5,709,880
279,documentation,5.2045,5.5882,0.3837,1.07,3407,5925
280,workshops,1.0866,1.4696,0.383,1.35,896,1237
281,leadership,5.179,5.5619,0.3829,1.07,3391,5896
282,uncover,0.3153,0.6971,0.3817,2.21,425,359
283,currently,0.8081,1.1891,0.381,1.47,725,920
284,design and,4.2101,4.5909,0.3808,1.09,2799,4793
285,llms,0.0843,0.4642,0.3799,5.5,283,96
286,dashboards to,0.7062,1.0858,0.3796,1.54,662,804
287,ci/cd pipelines,1.3352,1.714,0.3789,1.28,1045,1520
288,professionals,0.8152,1.1924,0.3773,1.46,727,928
289,power bi dashboards,0.4497,0.8267,0.3769,1.84,504,512
290,practical,0.3259,0.702,0.3761,2.15,428,371
291,problem-solving,0.896,1.2712,0.3752,1.42,775,1020
292,goals.,1.1489,1.5238,0.3748,1.33,929,1308
293,i help,0.1757,0.5478,0.3721,3.12,334,200
294,predictive,0.8125,1.1842,0.3717,1.46,722,925
295,reduce,2.2074,2.5784,0.371,1.17,1572,2513
296,inform,0.9416,1.3122,0.3705,1.39,800,1072
297,monitor,2.4577,2.8277,0.37,1.15,1724,2798
298,bi dashboards,0.5051,0.8742,0.3692,1.73,533,575
299,and supporting,0.5824,0.9513,0.3689,1.63,580,663
300,environments.,0.9425,1.3105,0.368,1.39,799,1073
301,enterprise,3.3115,3.679,0.3674,1.11,2243,3770
302,reliable,1.0637,1.4303,0.3665,1.34,872,1211
303,academic,0.5648,0.93,0.3652,1.65,567,643
304,collaborate with cross-functional,0.2143,0.579,0.3647,2.7,353,244
305,efforts,3.0111,3.3755,0.3644,1.12,2058,3428
306,standards,4.0564,4.4187,0.3623,1.09,2694,4618
307,and ai,0.1766,0.538,0.3614,3.05,328,201
308,using python,1.3694,1.7304,0.361,1.26,1055,1559
309,readiness,0.9372,1.2974,0.3602,1.38,791,1067
310,and drive,0.7045,1.0645,0.36,1.51,649,802
311,execution,3.395,3.7544,0.3594,1.11,2289,3865
312,latency,0.5341,0.8923,0.3582,1.67,544,608
313,platforms,2.6123,2.9704,0.3581,1.14,1811,2974
314,student,1.4898,1.8469,0.3571,1.24,1126,1696
315,networking,0.9654,1.3204,0.355,1.37,805,1099
316,and manage,1.5521,1.9026,0.3505,1.23,1160,1767
317,next.js,0.2635,0.6134,0.3499,2.33,374,300
318,i collaborate,0.1441,0.4921,0.348,3.42,300,164
319,insights.,0.592,0.9398,0.3478,1.59,573,674
320,and regulatory,0.6755,1.0218,0.3464,1.51,623,769
321,chatbot,0.2222,0.5675,0.3453,2.55,346,253
322,designing,2.2136,2.5587,0.3452,1.16,1560,2520
323,healthcare,1.6935,2.0388,0.3452,1.2,1243,1928
324,guide,1.1814,1.5254,0.3439,1.29,930,1345
325,my work,0.4243,0.7676,0.3434,1.81,468,483
326,emerging,0.8327,1.176,0.3433,1.41,717,948
327,agentic,0.0439,0.3871,0.3432,8.81,236,50
328,automation,4.84,5.183,0.3431,1.07,3160,5510
329,events,2.9883,3.3313,0.343,1.11,2031,3402
330,model,2.9391,3.282,0.3429,1.12,2001,3346
331,that enhance,0.1397,0.4822,0.3426,3.45,294,159
332,large-scale,1.062,1.404,0.342,1.32,856,1209
333,cross-functionally,0.5833,0.9251,0.3418,1.59,564,664
334,my role involves,0.0834,0.4232,0.3397,5.07,258,95
335,data pipelines,1.0189,1.3564,0.3375,1.33,827,1160
336,evolving,0.5024,0.8398,0.3373,1.67,512,572
337,modular,0.4418,0.7791,0.3373,1.76,475,503
338,engagement.,0.5833,0.9202,0.3369,1.58,561,664
339,i support,0.0738,0.4101,0.3363,5.56,250,84
340,data accuracy,0.5973,0.9333,0.336,1.56,569,680
341,apis,2.9628,3.2968,0.334,1.11,2010,3373
342,modeling,1.3158,1.6484,0.3326,1.25,1005,1498
343,fostering,1.7849,2.1159,0.331,1.19,1290,2032
344,generative ai,0.1757,0.5052,0.3295,2.88,308,200
345,tools to,1.2904,1.6189,0.3285,1.25,987,1469
346,skills in,0.7352,1.0629,0.3276,1.45,648,837
347,partner,1.5908,1.9174,0.3266,1.21,1169,1811
348,40,2.2013,2.5276,0.3263,1.15,1541,2506
349,ensuring seamless,1.0093,1.3351,0.3259,1.32,814,1149
350,ensure compliance,0.6518,0.9776,0.3258,1.5,596,742
351,leverage,0.6078,0.9316,0.3238,1.53,568,692
352,consulting,0.8837,1.2072,0.3235,1.37,736,1006
353,analysis and,2.6923,3.0147,0.3224,1.12,1838,3065
354,patterns,1.12,1.4417,0.3218,1.29,879,1275
355,consistent,1.6452,1.9666,0.3214,1.2,1199,1873
356,translate,0.7958,1.117,0.3212,1.4,681,906
357,user experience,1.6997,2.0207,0.321,1.19,1232,1935
358,an ai-powered,0.0764,0.3953,0.3189,5.17,241,87
359,ci/cd,2.9742,3.2919,0.3176,1.11,2007,3386
360,and enabling,0.4093,0.7266,0.3173,1.78,443,466
361,with business,1.7814,2.0978,0.3164,1.18,1279,2028
362,user,11.001,11.3174,0.3164,1.03,6900,12524
363,operations.,1.3255,1.6418,0.3163,1.24,1001,1509
364,vision,1.452,1.7681,0.3162,1.22,1078,1653
365,deployed,2.6668,2.9786,0.3118,1.12,1816,3036
366,and optimized,1.3641,1.6746,0.3105,1.23,1021,1553
367,systems and,1.9008,2.211,0.3101,1.16,1348,2164
368,ai and,0.2055,0.515,0.3095,2.51,314,234
369,lifecycle,1.5644,1.8731,0.3087,1.2,1142,1781
370,cutting-edge,0.4313,0.7397,0.3084,1.72,451,491
371,records,1.9913,2.2996,0.3082,1.15,1402,2267
372,and system,1.0181,1.3253,0.3072,1.3,808,1159
373,integration,5.8273,6.1344,0.3071,1.05,3740,6634
374,to uncover,0.2547,0.561,0.3062,2.2,342,290
375,selected,0.5701,0.8759,0.3058,1.54,534,649
376,evaluate,1.2886,1.5943,0.3057,1.24,972,1467
377,analyst,1.416,1.7189,0.303,1.21,1048,1612
378,initiatives.,0.8108,1.1137,0.3029,1.37,679,923
379,interactive dashboards,0.3865,0.6889,0.3024,1.78,420,440
380,hands-on experience in,0.2266,0.5281,0.3015,2.33,322,258
381,logic,1.1243,1.4253,0.301,1.27,869,1280
382,and security,1.141,1.4417,0.3007,1.26,879,1299
383,across the,2.5324,2.8326,0.3002,1.12,1727,2883
384,designed,8.9605,9.2606,0.3001,1.03,5646,10201
385,impactful,0.5578,0.8578,0.3,1.54,523,635
386,startup,0.5595,0.8595,0.2999,1.54,524,637
387,strategy and,1.1059,1.4057,0.2998,1.27,857,1259
388,accelerate,0.3962,0.6954,0.2993,1.76,424,451
389,insights that,0.3373,0.6364,0.2991,1.89,388,384
390,retrieval,0.7089,1.0071,0.2982,1.42,614,807
391,engineering and,0.9627,1.258,0.2953,1.31,767,1096
392,strengthening,0.4199,0.7151,0.2953,1.7,436,478
393,to ensure seamless,0.4251,0.72,0.2949,1.69,439,484
394,leading,4.8162,5.1109,0.2946,1.06,3116,5483
395,business goals,0.3988,0.6922,0.2934,1.74,422,454
396,nist,0.4989,0.7922,0.2933,1.59,483,568
397,while ensuring,0.4901,0.7824,0.2922,1.6,477,558
398,for real-time,0.5411,0.8332,0.2921,1.54,508,616
399,lead the,0.7958,1.0858,0.29,1.36,662,906
400,insights for,0.5402,0.8299,0.2897,1.54,506,615
401,responsibilities include,0.4594,0.7479,0.2885,1.63,456,523
402,postgresql,0.9961,1.2843,0.2882,1.29,783,1134
403,an ai,0.13,0.4183,0.2882,3.22,255,148
404,with industry,0.4664,0.7545,0.2881,1.62,460,531
405,organizational,2.0642,2.3521,0.2878,1.14,1434,2350
406,to refine,0.4216,0.7086,0.2869,1.68,432,480
407,analytics and,0.9452,1.2318,0.2866,1.3,751,1076
408,navigation,0.5174,0.8037,0.2863,1.55,490,589
409,career,0.9012,1.1875,0.2863,1.32,724,1026
410,ensure compliance with,0.4831,0.7693,0.2861,1.59,469,550
411,ingestion,0.7835,1.0694,0.2859,1.36,652,892
412,competitive,1.0611,1.3466,0.2855,1.27,821,1208
413,that drive,0.1643,0.4494,0.2852,2.74,274,187
414,brand,1.8438,2.129,0.2852,1.15,1298,2099
415,etl pipelines,0.5841,0.8693,0.2852,1.49,530,665
416,vulnerabilities,0.9206,1.2056,0.285,1.31,735,1048
417,automation and,0.7238,1.0087,0.2849,1.39,615,824
418,pipeline,2.5052,2.79,0.2848,1.11,1701,2852
419,market,3.1367,3.4215,0.2847,1.09,2086,3571
420,logistics,1.2895,1.573,0.2835,1.22,959,1468
421,cloud-native,0.2793,0.5626,0.2833,2.01,343,318
422,empower,0.3338,0.6167,0.2829,1.85,376,380
423,partner with,0.4866,0.7693,0.2826,1.58,469,554
424,robust,2.3506,2.6325,0.2819,1.12,1605,2676
425,accessibility and,0.3909,0.6725,0.2816,1.72,410,445
426,and optimizing,0.6017,0.8824,0.2807,1.47,538,685
427,identity,0.8564,1.1367,0.2802,1.33,693,975
428,resilience,0.3189,0.5987,0.2798,1.88,365,363
429,and industry,0.4585,0.7381,0.2796,1.61,450,522
430,models to,0.5525,0.8316,0.2791,1.51,507,629
431,handling,2.0748,2.3537,0.2789,1.13,1435,2362
432,businesses,0.7317,1.0104,0.2787,1.38,616,833
433,network,3.7973,4.0743,0.277,1.07,2484,4323
434,support the,0.9206,1.1973,0.2768,1.3,730,1048
435,consistency and,0.542,0.8185,0.2765,1.51,499,617
436,targeted,0.8652,1.1416,0.2764,1.32,696,985
437,soc,0.3883,0.6643,0.276,1.71,405,442
438,impact,1.8965,2.1716,0.2752,1.15,1324,2159
439,detection and,0.4374,0.7118,0.2744,1.63,434,498
440,clean,1.2631,1.5369,0.2737,1.22,937,1438
441,critical,3.8518,4.1251,0.2734,1.07,2515,4385
442,pipelines using,0.9504,1.2236,0.2732,1.29,746,1082
443,ensure smooth,0.3584,0.6315,0.2731,1.76,385,408
444,u.s.,0.6737,0.9464,0.2727,1.4,577,767
445,i specialize in,0.1625,0.4347,0.2722,2.67,265,185
446,visualize,0.607,0.8791,0.2722,1.45,536,691
447,query,1.3571,1.6287,0.2716,1.2,993,1545
448,tracking and,0.939,1.2105,0.2715,1.29,738,1069
449,i specialize,0.1634,0.4347,0.2713,2.66,265,186
450,incidents,1.0005,1.2712,0.2707,1.27,775,1139
451,conducting,1.7436,2.0142,0.2706,1.16,1228,1985
452,compliance.,0.7581,1.0284,0.2704,1.36,627,863
453,supporting the,0.5297,0.7988,0.2691,1.51,487,603
454,pipelines and,0.5428,0.8119,0.2691,1.5,495,618
455,and risk,0.6412,0.9103,0.2691,1.42,555,730
456,language,0.9891,1.258,0.269,1.27,767,1126
457,risk management,0.8187,1.0875,0.2688,1.33,663,932
458,workflows to,0.4005,0.6676,0.267,1.67,407,456
459,research,6.7224,6.9889,0.2666,1.04,4261,7653
460,passionate,0.2521,0.5183,0.2662,2.06,316,287
461,figma,0.8459,1.1121,0.2662,1.31,678,963
