label,domain,llm_likelihood,signal_type
slop_2026,preprod.cloud,97,substance
slop_2026,webtechnoworld.com,95,substance
human_pre2022,hceris.com,4,substance
human_pre2022,automai.com,22,substance
mainstream_2026,futurecio.tech,72,substance
human_pre2022,horicky.blogspot.com,5,substance
slop_2026,codewithme.online,97,substance
mainstream_2026,sherlockforensics.com,97,substance
slop_2026,typescript.website,97,substance
human_pre2022,benhowdle.im,3,substance
mainstream_2026,cybersecasia.net,82,substance
mainstream_2026,www.kdnuggets.com,88,structure
slop_2026,hiro.solutions,97,substance
slop_2026,balances.cloud,96,substance
slop_2026,databricks.cloud,95,substance
human_pre2022,wouterdekort.com,2,typography
human_pre2022,justingarrison.com,4,substance
slop_2026,numberone.cloud,97,substance
slop_2026,devtools.cloud,97,substance
slop_2026,trackers.top,97,substance
slop_2026,enrollment.live,97,substance
slop_2026,sitehost.cloud,97,substance
human_pre2022,cthoyt.com,2,substance
human_pre2022,whatsthebigdata.com,3,substance
human_pre2022,tds.s-anand.net,93,structure
mainstream_2026,impetus.ai,88,substance
slop_2026,upfiles.cloud,95,substance
mainstream_2026,csoonline.com,6,substance
slop_2026,uploadfile.pro,96,substance
human_pre2022,radu-matei.com,4,substance
slop_2026,boxqbit.co.uk,97,substance
mainstream_2026,thewantrepreneurshow.com,85,structure
human_pre2022,akash.network,10,substance
mainstream_2026,securereading.com,88,structure
human_pre2022,blog.binarymist.net,3,substance
mainstream_2026,cioinfluence.com,40,substance
mainstream_2026,techstrong.ai,78,structure
slop_2026,hiro.solutions,97,substance
human_pre2022,evalf20.classes.andrewheiss.com,2,substance
slop_2026,hiro.solutions,97,substance
human_pre2022,azuredevops.show,10,substance
mainstream_2026,cyberscoop.com,30,substance
slop_2026,megastorage.cloud,97,substance
slop_2026,prepared.cloud,95,substance
slop_2026,smartqubit.uk,97,substance
human_pre2022,shostack.org,4,substance
slop_2026,qbit365.co.uk,97,substance
human_pre2022,datakitchen.io,28,substance
slop_2026,datafabric.cloud,96,substance
slop_2026,quicktech.cloud,97,substance
mainstream_2026,nusummit.com,48,substance
mainstream_2026,enhancedmlops.com,95,substance
slop_2026,passive.cloud,95,substance
human_pre2022,posthog.com,3,substance
human_pre2022,koyeb.com,45,structure
human_pre2022,developer.hpe.com,25,substance
mainstream_2026,lawnext.com,37,substance
mainstream_2026,techrepublic.com,72,structure
mainstream_2026,intototaloblivion.tumblr.com,2,none
mainstream_2026,techstrongresearch.com,95,substance
slop_2026,thehost.cloud,97,substance
human_pre2022,antaramian.com,3,substance
slop_2026,typescript.page,97,substance
human_pre2022,delta.io,3,substance
human_pre2022,qubole.com,15,substance
human_pre2022,code.lengstorf.com,5,substance
human_pre2022,clux.dev,3,substance
human_pre2022,longtermrisk.org,3,substance
human_pre2022,qubole.com,20,substance
human_pre2022,adventuresinoss.com,2,substance
slop_2026,favicon.live,97,substance
human_pre2022,valossa.com,13,substance
slop_2026,oracles.cloud,95,substance
mainstream_2026,mobileeurope.co.uk,25,substance
slop_2026,bitbox.cloud,97,substance
mainstream_2026,opensourceforu.com,78,structure
mainstream_2026,sureprompts.com,95,structure
slop_2026,host-server.cloud,97,substance
mainstream_2026,craftbettersoftware.com,68,substance
human_pre2022,dillionmegida.com,8,vocabulary
slop_2026,challenges.pro,97,substance
human_pre2022,ual.sg,4,substance
slop_2026,filesdownloads.net,95,substance
human_pre2022,developer.hpe.com,10,substance
human_pre2022,ontotext.com,12,substance
slop_2026,webs.direct,95,substance
mainstream_2026,developersblog.dmm.com,72,substance
mainstream_2026,bebewrites.tumblr.com,1,substance
mainstream_2026,thewantrepreneurshow.com,88,structure
slop_2026,opensources.live,95,substance
slop_2026,controlcenter.cloud,97,substance
slop_2026,webtechnoworld.com,97,substance
mainstream_2026,blog.iceberglakehouse.com,88,substance
slop_2026,bot365.co.uk,96,substance
mainstream_2026,opennms.wpengine.com,75,structure
slop_2026,verifies.cloud,97,substance
human_pre2022,verou.me,3,substance
mainstream_2026,tmtpost.com,72,structure
mainstream_2026,verdict.co.uk,55,structure
human_pre2022,simonhearne.com,4,substance
mainstream_2026,latesthackingnews.com,25,substance
mainstream_2026,blog.ubuntu.com,50,substance
slop_2026,workflowapp.cloud,97,substance
mainstream_2026,philsci-archive.pitt.edu,4,substance
human_pre2022,lambdacreate.com,5,substance
mainstream_2026,nexergroup.com,75,substance
slop_2026,favicon.live,97,substance
slop_2026,queries.cloud,97,substance
slop_2026,hiro.solutions,97,substance
human_pre2022,sia.codes,3,substance
human_pre2022,dataengineeringpodcast.com,4,substance
mainstream_2026,ghacks.net,78,structure
slop_2026,mongoose.cloud,96,substance
mainstream_2026,randycoulman.com,8,substance
mainstream_2026,enterprisetimes.co.uk,62,structure
slop_2026,typescript.website,96,substance
human_pre2022,mariogarcia.github.io,3,substance
mainstream_2026,providenttechnology.com,88,substance
slop_2026,antimalware.pro,96,substance
human_pre2022,danmall.com,8,substance
human_pre2022,supplychainstrategy.media,18,substance
human_pre2022,verraes.net,6,substance
mainstream_2026,practicetestautomation.com,72,substance
slop_2026,quicktech.cloud,97,substance
mainstream_2026,paig.ai,93,substance
mainstream_2026,main.datalakehousehub.com,80,substance
mainstream_2026,hcltech.com,72,substance
mainstream_2026,startupnetworks.co.uk,12,substance
mainstream_2026,intopia.digital,10,substance
human_pre2022,enterprisetimes.co.uk,6,substance
slop_2026,datawizard.cloud,96,substance
human_pre2022,lukeshiru.dev,8,vocabulary
mainstream_2026,weijinresearch.substack.com,78,substance
slop_2026,webscraper.uk,97,substance
mainstream_2026,gair.leiphone.com,72,structure
human_pre2022,tech.nextroll.com,10,substance
human_pre2022,blog.fsck.com,2,substance
slop_2026,scrapes.us,96,substance
human_pre2022,addepto.com,45,substance
slop_2026,deployed.cloud,96,substance
mainstream_2026,designerly.com,88,structure
human_pre2022,danielms.site,3,substance
human_pre2022,mkaz.blog,4,substance
slop_2026,whata.cloud,95,substance
human_pre2022,changelog.com,3,substance
human_pre2022,internaldeveloperplatform.org,30,structure
mainstream_2026,rweekly.org,3,substance
human_pre2022,winder.ai,5,substance
mainstream_2026,blog.elest.io,72,structure
slop_2026,storages.cloud,96,substance
mainstream_2026,e2eml.school,22,substance
slop_2026,wecloud.pro,97,substance
mainstream_2026,telecomreviewasia.com,85,structure
mainstream_2026,remotees.com,35,structure
slop_2026,functions.top,97,substance
human_pre2022,chatbot.com,72,structure
human_pre2022,arresteddevops.com,10,substance
mainstream_2026,saiyampathak.substack.com,45,structure
mainstream_2026,teamwin.in,96,substance
mainstream_2026,discuss.streamlit.io,72,structure
human_pre2022,calpaterson.com,3,substance
mainstream_2026,fazm.ai,78,substance
slop_2026,appstudio.cloud,96,substance
mainstream_2026,blog.qt.io,45,substance
human_pre2022,gcppodcast.com,3,substance
mainstream_2026,logicv.com,92,substance
human_pre2022,blog.jongallant.com,2,substance
mainstream_2026,search.jobs.barclays,10,substance
mainstream_2026,irods.org,10,substance
slop_2026,loging.xyz,97,substance
mainstream_2026,robohorizon.com,72,structure
human_pre2022,bigpanda.io,18,substance
mainstream_2026,devstree.com,65,substance
mainstream_2026,techcanbebetter.com,8,substance
slop_2026,beek.cloud,96,substance
slop_2026,myscript.cloud,97,substance
mainstream_2026,getbuilt.com,40,substance
mainstream_2026,azure.microsoft.com,62,substance
slop_2026,dummies.cloud,97,substance
mainstream_2026,enterprisetimes.co.uk,35,structure
slop_2026,pasty.cloud,97,substance
human_pre2022,datavizm20.classes.andrewheiss.com,3,substance
human_pre2022,tarunbatra.com,15,substance
human_pre2022,guidewire.com,6,substance
human_pre2022,williamrinehart.com,6,structure
human_pre2022,htormey.org,10,substance
human_pre2022,shiphp.com,3,substance
mainstream_2026,worldspiritsockpuppet.com,2,substance
human_pre2022,dylanbeattie.net,3,substance
mainstream_2026,drsql.link,3,none
mainstream_2026,globalcrypto.tv,78,substance
mainstream_2026,commons.emich.edu,10,substance
human_pre2022,amitness.com,25,substance
human_pre2022,dataengineeringpodcast.com,4,substance
slop_2026,details.cloud,97,substance
human_pre2022,blog.michaelhamrah.com,20,substance
mainstream_2026,futurism.com,15,substance
mainstream_2026,testingcatalog.com,75,structure
mainstream_2026,blog.engineer.adways.net,48,structure
mainstream_2026,bepresearch.substack.com,30,substance
human_pre2022,theamphour.com,3,substance
human_pre2022,readrust.net,3,substance
human_pre2022,karlitschek.de,2,substance
human_pre2022,keda.sh,72,substance
mainstream_2026,blog.readsail.com,25,substance
human_pre2022,riskgroupllc.com,10,vocabulary
mainstream_2026,smbtech.au,75,substance
mainstream_2026,igel.com,78,structure
slop_2026,htmlfile.cloud,95,substance
slop_2026,bitbox.cloud,95,substance
human_pre2022,mikhail.io,18,substance
slop_2026,dummies.cloud,95,substance
mainstream_2026,devopsaitoolkit.com,94,structure
mainstream_2026,blog.quarkslab.com,62,structure
slop_2026,analyses.info,95,substance
mainstream_2026,jobs.paloaltonetworks.com,25,none
human_pre2022,target.github.io,8,substance
mainstream_2026,insidecybersecurity.com,4,substance
slop_2026,bitbox.cloud,95,substance
human_pre2022,blogs.blackmarble.co.uk,2,substance
mainstream_2026,rosia.me,3,substance
slop_2026,opensources.live,97,substance
mainstream_2026,kentertechhub.com,25,substance
mainstream_2026,keomarketing.com,93,substance
slop_2026,venturecap.biz,95,substance
mainstream_2026,borncity.com,93,substance
mainstream_2026,eng.ed.ac.uk,25,substance
mainstream_2026,digitalcommons.du.edu,63,structure
mainstream_2026,explore.n1n.ai,95,substance
mainstream_2026,plextrac.com,75,substance
human_pre2022,immunityinc.com,18,substance
human_pre2022,ramblingcookiemonster.github.io,2,substance
mainstream_2026,infinitefrontiers.io,45,structure
human_pre2022,cozystack.io,30,substance
mainstream_2026,news.efinancialcareers.com,5,substance
mainstream_2026,supporterz-seminar.connpass.com,35,structure
slop_2026,binaries.live,97,substance
slop_2026,florence.cloud,95,substance
slop_2026,mongoose.cloud,95,substance
slop_2026,aiprompts.cloud,96,substance
human_pre2022,www.dominodatalab.com,20,substance
mainstream_2026,fabianlee.org,10,substance
mainstream_2026,nofluffjobs.com,15,substance
human_pre2022,inflectra.com,10,substance
mainstream_2026,p4sc4l.substack.com,95,structure
mainstream_2026,scholarworks.umb.edu,48,structure
slop_2026,trainmyai.net,97,substance
human_pre2022,developer.medley.jp,6,substance
mainstream_2026,wired.com,16,substance
human_pre2022,testertested.blogspot.com,3,substance
slop_2026,investigation.cloud,97,substance
human_pre2022,blogarithms.github.io,5,substance
mainstream_2026,scholarship.law.columbia.edu,25,substance
human_pre2022,fizzylogic.nl,6,substance
mainstream_2026,golangprojects.com,22,substance
slop_2026,certify.page,97,substance
slop_2026,datastore.cloud,97,substance
mainstream_2026,mindtechcompany.com,95,substance
slop_2026,sitehost.cloud,96,substance
slop_2026,bitbox.cloud,95,substance
human_pre2022,akomljen.com,5,substance
mainstream_2026,thewincentral.com,93,structure
mainstream_2026,researchsquare.com,42,substance
mainstream_2026,embrace.io,10,substance
mainstream_2026,runzero.com,20,structure
mainstream_2026,stuker.com,22,none
human_pre2022,nutrient.io,40,structure
mainstream_2026,morningbrew.com,15,substance
human_pre2022,pmichaels.net,3,substance
slop_2026,typescript.website,97,substance
human_pre2022,iojs.org,1,substance
human_pre2022,mlusiak.com,3,substance
human_pre2022,woodwardweb.com,2,substance
human_pre2022,threedots.tech,15,substance
human_pre2022,akash.network,15,substance
slop_2026,trainmyai.net,97,substance
mainstream_2026,demiliani.com,45,structure
mainstream_2026,thewatershed.markpesce.com,62,structure
mainstream_2026,techbytes.app,92,substance
slop_2026,toggle.top,97,substance
mainstream_2026,sreake.com,68,structure
mainstream_2026,lbmc.com,95,structure
human_pre2022,resources.rstudio.com,11,substance
mainstream_2026,remotehunt.com,25,substance
human_pre2022,martinmueller.dev,4,substance
mainstream_2026,exposingtheinvisible.org,8,substance
mainstream_2026,airia.com,93,substance
human_pre2022,ttic.edu,2,substance
slop_2026,selfhosting.cloud,95,substance
mainstream_2026,americanbazaaronline.com,22,substance
human_pre2022,docs.cribl.io,4,substance
human_pre2022,sirchia.cloud,4,substance
slop_2026,diagrams.us,97,substance
mainstream_2026,siliconrepublic.com,20,substance
slop_2026,crazydomains.cloud,97,substance
mainstream_2026,colonewsnet.tumblr.com,78,substance
human_pre2022,2019.open-security-summit.org,6,substance
mainstream_2026,thedeepview.com,45,structure
human_pre2022,resources.rstudio.com,12,substance
human_pre2022,pipelineconf.info,5,substance
slop_2026,sitehost.cloud,97,substance
mainstream_2026,cioandleader.com,45,substance
slop_2026,recruits.cloud,96,substance
human_pre2022,qubole.com,12,substance
slop_2026,askqbit.com,97,substance
slop_2026,devtools.cloud,95,substance
human_pre2022,janikvonrotz.ch,5,substance
human_pre2022,chs.us,95,structure
slop_2026,programa.space,95,structure
mainstream_2026,digiexe.com,88,substance
mainstream_2026,news.efinancialcareers.com,6,substance
human_pre2022,jster.net,3,substance
slop_2026,investigation.cloud,97,substance
mainstream_2026,sspai.com,30,substance
mainstream_2026,event-driven.io,3,substance
human_pre2022,blog.ivrpowers.com,15,vocabulary
slop_2026,opensources.live,97,substance
human_pre2022,fastdatascience.com,18,substance
slop_2026,messages.solutions,95,substance
mainstream_2026,explainx.substack.com,88,structure
slop_2026,supports.live,97,substance
human_pre2022,iojs.org,1,substance
mainstream_2026,networkworld.com,22,substance
human_pre2022,maecapozzi.com,25,substance
human_pre2022,blog.adrianbanks.co.uk,3,substance
mainstream_2026,usecarly.com,95,structure
mainstream_2026,blog.getdbt.com,65,structure
human_pre2022,derifatives.github.io,3,substance
mainstream_2026,adamsdesk.com,26,substance
human_pre2022,blog.fosketts.net,4,substance
mainstream_2026,intelliworxit.com,42,structure
slop_2026,thecode.website,95,substance
slop_2026,codewithme.online,97,substance
mainstream_2026,blog.promptlayer.com,88,structure
human_pre2022,docs.layer5.io,10,substance
mainstream_2026,niryo.com,94,structure
human_pre2022,cloudamqp.com,6,substance
mainstream_2026,palladyneai.com,55,substance
human_pre2022,nicolalindgren.com,4,substance
slop_2026,flagged.online,96,substance
human_pre2022,unixdaemon.net,2,substance
mainstream_2026,abloomify.com,80,structure
human_pre2022,jenkins-x.io,4,substance
mainstream_2026,neotechnology.com,86,substance
mainstream_2026,citrusbug.com,72,substance
slop_2026,seo-web.site,96,substance
slop_2026,healthguru.online,97,structure
slop_2026,authorize.live,96,substance
slop_2026,appstudio.cloud,97,substance
slop_2026,next-gen.cloud,97,substance
slop_2026,supervised.online,97,substance
mainstream_2026,trend-rays.com,92,structure
mainstream_2026,mindbridge.ai,92,substance
slop_2026,javascripts.store,95,substance
mainstream_2026,yuyjo.com,75,structure
mainstream_2026,neotechnology.com,55,vocabulary
slop_2026,quicktech.cloud,95,substance
mainstream_2026,luisaherrmann.substack.com,10,none
slop_2026,sitehost.cloud,97,substance
human_pre2022,marketmuse.com,8,substance
human_pre2022,xkyle.com,4,vocabulary
slop_2026,verifies.cloud,97,substance
mainstream_2026,m365admin.handsontek.net,78,structure
slop_2026,passive.cloud,97,substance
human_pre2022,practicalai.fm,4,substance
mainstream_2026,en.it-daily.net,72,structure
mainstream_2026,goddammitravio.tumblr.com,2,substance
mainstream_2026,akeyless.io,88,structure
human_pre2022,serverless.com,18,substance
human_pre2022,riskgroupllc.com,18,vocabulary
slop_2026,htmlfile.cloud,95,substance
mainstream_2026,rakiabensassi.substack.com,82,substance
human_pre2022,pnote.eu,6,substance
human_pre2022,jasonacox.com,3,substance
human_pre2022,brightinventions.pl,6,substance
slop_2026,ebot.directory,96,substance
mainstream_2026,getbeam.dev,92,substance
slop_2026,thecorporate.cloud,97,substance
human_pre2022,graphql-modules.com,12,vocabulary
human_pre2022,oper8r.substack.com,25,substance
mainstream_2026,haleshot.github.io,22,substance
human_pre2022,developer.hpe.com,10,substance
slop_2026,deployhq.com,89,structure
human_pre2022,lornajane.net,5,substance
mainstream_2026,kylereddoch.me,80,structure
slop_2026,qubit365.uk,97,substance
human_pre2022,cyberark.com,25,substance
slop_2026,untied.dev,97,substance
slop_2026,chatjot.com,95,structure
slop_2026,aicode.cloud,95,substance
slop_2026,newworld.cloud,96,substance
human_pre2022,tds.s-anand.net,88,substance
mainstream_2026,spin.atomicobject.com,68,substance
mainstream_2026,byteiota.com,95,structure
mainstream_2026,rweekly.org,2,structure
human_pre2022,danielwertheim.se,4,substance
slop_2026,devtools.cloud,96,substance
slop_2026,healths.app,97,substance
slop_2026,bestwebspaces.com,97,substance
human_pre2022,azureplayer.net,3,substance
human_pre2022,timothypratley.blogspot.com,10,substance
human_pre2022,openparenthesis.org,3,substance
slop_2026,chatjot.com,95,substance
slop_2026,datafabric.cloud,97,substance
human_pre2022,enterprisetimes.co.uk,15,substance
human_pre2022,awsbites.com,12,substance
mainstream_2026,rodtrent.substack.com,94,structure
mainstream_2026,getaibook.com,93,structure
mainstream_2026,amp.scmp.com,82,substance
human_pre2022,akash.network,12,substance
slop_2026,crawl.page,95,substance
human_pre2022,cyberark.com,15,substance
human_pre2022,jackfranklin.co.uk,6,substance
mainstream_2026,careers.jetsoftpro.com,68,substance
slop_2026,qbot365.com,97,substance
mainstream_2026,signal65.com,45,substance
slop_2026,oracles.cloud,97,substance
mainstream_2026,remotees.com,8,substance
slop_2026,techsifted.com,82,structure
slop_2026,bigthings.cloud,97,substance
slop_2026,truly.cloud,97,substance
human_pre2022,resources.rstudio.com,22,structure
slop_2026,aicode.cloud,95,substance
